city_ascii,lat,lng,division
Mexico City,19.4333,-99.1333,Ciudad de Mexico
Guadalajara,20.6767,-103.3475,Jalisco
Monterrey,25.6667,-100.3,Nuevo Leon
Tijuana,32.525,-117.0333,Baja California
Ecatepec,19.6097,-99.06,Estado de Mexico
Puebla,19.0333,-98.1833,Puebla
Leon de los Aldama,21.1167,-101.6833,Guanajuato
Juarez,31.7386,-106.487,Chihuahua
Zapopan,20.7167,-103.4,Jalisco
Ciudad Nezahualcoyotl,19.41,-99.03,Estado de Mexico
Nezahualcoyotl,19.4,-98.9889,Estado de Mexico
Mexicali,32.6633,-115.4678,Baja California
Aguascalientes,21.876,-102.296,Aguascalientes
Merida,20.97,-89.62,Yucatan
Chihuahua,28.6353,-106.0889,Chihuahua
Naucalpan de Juarez,19.4753,-99.2378,Estado de Mexico
San Luis Potosi,22.1511,-100.9761,San Luis Potosi
Toluca,19.2925,-99.6569,Estado de Mexico
Queretaro,20.5875,-100.3928,Queretaro
Hermosillo,29.0989,-110.9542,Sonora
Saltillo,25.4333,-101,Coahuila de Zaragoza
Morelia,19.7683,-101.1894,Michoacan
Culiacan,24.8069,-107.3939,Sinaloa
Tlalnepantla,19.5367,-99.1947,Estado de Mexico
Cancun,21.1606,-86.8475,Quintana Roo
Tlajomulco de Zuniga,20.4736,-103.4431,Jalisco
Reynosa,26.0922,-98.2778,Tamaulipas
Guadalupe,25.6775,-100.2597,Nuevo Leon
Acapulco de Juarez,16.8636,-99.8825,Guerrero
Torreon,25.5394,-103.4486,Coahuila de Zaragoza
Durango,24.0167,-104.6667,Durango
Villahermosa,17.9892,-92.9281,Tabasco
Chimalhuacan,19.4167,-98.9,Estado de Mexico
Tuxtla,16.7528,-93.1167,Chiapas
Tlaquepaque,20.6167,-103.3167,Jalisco
Veracruz,19.1903,-96.1533,Veracruz
Xalapa,19.54,-96.9275,Veracruz
Ensenada,31.8578,-116.6058,Baja California
Ciudad Apodaca,25.7833,-100.1833,Nuevo Leon
Heroica Matamoros,25.8797,-97.5042,Tamaulipas
Cuautitlan Izcalli,19.65,-99.25,Estado de Mexico
